link,text,date,No_of_Likes,No_of_Retweets
https://twitter.com/BBC/status/1807700632242934120#m,The mystery begins… 🔍    Watch A Good Girl’s Guide to Murder exclusively on #iPlayer now    #AGoodGirlsGuidetoMurder #AGGGTM #AGGGTMSeries,"Jul 1, 2024 · 8:59 AM UTC",307,80
https://twitter.com/bbcpress/status/1806693541583667702#m,"🎪 If you can't be at #Glastonbury, we'll bring Worthy Farm to you!  Here's your ultimate day by day guide to Glastonbury 2024 on TV, @BBCiPlayer, Radio and @BBCSounds   Get all the info ➡️ https://bbc.in/4cJFhJL","Jun 28, 2024 · 2:18 PM UTC",75,35
https://twitter.com/bbcpress/status/1806691417865019857#m,What if finding out the truth will destroy your life?  The first trailer for #TheJetty - starring Jenna Coleman as Detective Ember Manning - is here!  Watch now ▶️ https://bbc.in/3zn2m6y,"Jun 28, 2024 · 2:09 PM UTC",730,128
https://twitter.com/bbcpress/status/1806613638154756177#m,"❤️ Fall in love with the Paris 2024 Olympic Games on the BBC  Find out how to follow the biggest moments at Paris 2024 as they happen, across comprehensive, free-to-air, multiplatform coverage  Get all the info ➡️ https://bbc.in/4cxblk0","Jun 28, 2024 · 9:00 AM UTC",154,41
https://twitter.com/BBC/status/1803805008905072678#m,The countdown is on… ⏳  Watch A Good Girl’s Guide to Murder on #iPlayer from 1 July.     #AGoodGirlsGuidetoMurder #AGGGTMSeries #AGGGTM,"Jun 20, 2024 · 3:00 PM UTC",692,223
https://twitter.com/bbcpress/status/1801542034299162919#m,"Boltonian wild child Alma is back! Don't worry, she's still not normal 😉  Alma's Not Normal series 2 is coming to @BBCiPlayer and @BBCTwo and you can sneak a peek at what's to come right now  Watch a teaser ▶️ https://bbc.in/4emyqY8","Jun 14, 2024 · 9:07 AM UTC",197,42
https://twitter.com/bbcpress/status/1800806789417730257#m,"📸 Ember Manning (Jenna Coleman) is on the case in new images from The Jetty  Get a deeper look at the complex inhabitants of the eerie lakeside town where an arson, missing persons cold case, and an illicit triangle are intricately intertwined  More ➡️ https://bbc.in/4eleG7m","Jun 12, 2024 · 8:26 AM UTC",165,39
https://twitter.com/bbcpress/status/1800440243495272938#m,"🌳 Who Do You Think You Are? is back with a show-stopping line-up!  Celebrities include Vicky McClure, Paddy McGuinness, Olly Murs, Melanie Chisholm (Mel C), Rose Ayling-Ellis, Gemma Collins and Dame Jessica Ennis-Hill  More info ➡️ https://bbc.in/4ci3WEH","Jun 11, 2024 · 8:09 AM UTC",95,23
https://twitter.com/bbcpress/status/1800093971794018708#m,"🎾 Game, set and match! @BBCSport to serve fans exclusive coverage of Wimbledon 2024!  Catch all of the action across the BBC on TV, @BBCiPlayer, Radio, @BBCSounds and BBC Sport online  More info ➡️ https://bbc.in/3yNt4Vu","Jun 10, 2024 · 9:13 AM UTC",157,33
https://twitter.com/bbcpress/status/1800080566148374551#m,📢 James Norton is reading a @CBeebiesHQ Bedtime Story to help young children understand diabetes and how it can be managed!  The Happy Valley star reads How to Manage a Mammoth written by Dr Rose Stewart and illustrated by Richard Dwyer✨  More info ➡️ https://bbc.in/4c4X3XC,"Jun 10, 2024 · 8:20 AM UTC",188,58
https://twitter.com/bbcpress/status/1799798486059327707#m,"""He was a brilliant science broadcaster and programme maker, able to make the most complex subjects simple""  BBC Chief Content Officer Charlotte Moore pays tribute to Dr Michael Mosley  https://bbc.in/4aU8EYf","Jun 9, 2024 · 1:39 PM UTC",1100,155
https://twitter.com/bbcpress/status/1798823175750402505#m,"Wallace and Gromit are back this Christmas!  One of the UK’s favourite duos are back with a brand-new adventure, premiering on @BBCOne and @BBCiPlayer Christmas 2024.  Read more ➡️ bbc.co.uk/mediacentre/2024/w…","Jun 6, 2024 · 9:04 PM UTC",1042,200
https://twitter.com/bbcthree/status/1798374349352890681#m,"Five years ago, a schoolgirl was murdered by her boyfriend. Case closed. Or is it? 👀  A Good Girl's Guide to Murder, watch on @bbciplayer in the UK from 1 July  #AGoodGirlsGuidetoMurder #AGGGTMSeries #AGGGTM https://inv.tux.pizza/TVndzE-DnRs?feature=shared","Jun 5, 2024 · 3:20 PM UTC",224,108
https://twitter.com/bbcpress/status/1798358190607974773#m,"BBC announces Agatha Christie’s Towards Zero with a star-studded cast  An explosive love triangle, a formidable matriarch (played by Academy Award-winner Anjelica Huston) and a house party of enemies. All compelled… Towards Zero  Read more ➡️ https://bbc.in/4bK30JH","Jun 5, 2024 · 2:16 PM UTC",161,40
https://twitter.com/bbcpress/status/1798314642684752369#m,🕵️ The BBC's opening case files of the best detective and crime dramas this summer with a line-up of 17 titles crossing 6 decades coming to BBC Four and @BBCiPlayer   Find out more ➡️ https://bbc.in/3KrWU4u,"Jun 5, 2024 · 11:23 AM UTC",132,46
https://twitter.com/bbcpress/status/1797961886916632795#m,"📢 Twenty-five years after it first stomped across our TV screens, the iconic Walking With Dinosaurs will return in 2025  Get all the info ➡️ https://bbc.in/3VoE30q","Jun 4, 2024 · 12:01 PM UTC",4119,1447
https://twitter.com/bbcpress/status/1797903369232859241#m,"We're officially heading back to school with the Boarders  The critically-acclaimed hit comedy-drama, created and written by BAFTA-nominated Daniel Lawrence Taylor, is set to return for another term on @bbcthree and @BBCiPlayer   Read more ➡️ https://bbc.in/3X6KhTW","Jun 4, 2024 · 8:09 AM UTC",1270,404
https://twitter.com/bbcpress/status/1797679348503449787#m,There’s Only One Rob Burrow   A special documentary pays tribute to the rugby league legend and MND campaigner   Watch on @BBCOne and @BBCiPlayer from 8.30pm on Monday 3 June,"Jun 3, 2024 · 5:18 PM UTC",153,38
https://twitter.com/bbcpress/status/1797653299136524478#m,📢 The BBC announces the artists and musical stars taking part in the live events in Portsmouth and Normandy to commemorate the 80th Anniversary of D-Day on 5 and 6 June on @BBCiPlayer and @BBCOne #DDay80   Get all the info ➡️ https://bbc.in/3yMF8Xd,"Jun 3, 2024 · 3:35 PM UTC",97,36
https://twitter.com/bbcpress/status/1796074301424037956#m,"🌟 Glastonbury 2024 is coming to the BBC and we’re bringing the magic of Worthy Farm to you wherever you are across the UK!   Explore full festival coverage on TV, @BBCiPlayer, Radio & @BBCSounds   More info ➡️ https://bbc.in/3X1w5Mb","May 30, 2024 · 7:00 AM UTC",195,56
https://twitter.com/bbcpress/status/1795865800907112631#m,"🌏 ""Don’t underestimate it. Don’t think it’s easy. None of it is easy.""  As #RaceAcrosstheWorld reaches it's thrilling final leg, we're catching up with the teams to find out about their highs, lows and winning ambitions  Read ➡️ https://bbc.in/3R6BT2X","May 29, 2024 · 5:12 PM UTC",67,12
https://twitter.com/bbcpress/status/1795176493984694320#m,"""Thrilling. Fun. Ominous…""   That's how Callie Cooke describes #DoctorWho's Dot and Bubble when we catch up with her to find out all about it - and her character, Lindy Pepper-Bean  Read ➡️ https://bbc.in/3VfuCAt","May 27, 2024 · 7:33 PM UTC",138,29
https://twitter.com/BBCSport/status/1794398110397157558#m,🔴 🏆MAN UTD HAVE WON THE FA CUP! 🏆 🔴  It's a thirteenth FA Cup triumph for the Red Devils ✨  FT: Man Utd 2-1 Man City    #BBCFootball #BBCFACup,"May 25, 2024 · 4:00 PM UTC",7735,1330
https://twitter.com/BBCSport/status/1794395401186926878#m,Could we have some late drama? 👀😲  Jeremy Doku pulls one back for Man City! ⚽  #BBCFootball #BBCFACup,"May 25, 2024 · 3:49 PM UTC",112,22
https://twitter.com/BBCSport/status/1794384069599305863#m,"🇩🇪 Join us for the Euros this summer in Germany. Where anything can happen.  🎢 More twists. More turns.  ⚽️ Euro 2024, live across the BBC. Starts Friday 14 June.   #BBCFootball #EURO2024","May 25, 2024 · 3:04 PM UTC",149,21
https://twitter.com/BBCSport/status/1794379311836762120#m,Cool as you like from Kobbie Mainoo 🥶🔴  Manchester City are shell-shocked! 😱  #BBCFootball #BBCFACup,"May 25, 2024 · 2:45 PM UTC",1128,174
https://twitter.com/BBCSport/status/1794377686942454027#m,What a MIX-UP between Ortega and Gvardiol! 😲  Alejandro Garnacho takes the opportunity to give Man Utd the lead 🔴💥  #BBCFootball #BBCFACup,"May 25, 2024 · 2:39 PM UTC",504,69
